run_date,data_through,mode,forecast_date,horizon,target,model,prediction,unit
2026-06-25,2026-06-25,multivariate,2026-06-30,5,TMP2m,gru,2.262,°C
2026-06-25,2026-06-25,multivariate,2026-06-30,5,TMP2m,qgru,-3.9,°C
2026-06-25,2026-06-25,multivariate,2026-06-30,5,TMP2m,ann,10.072,°C
2026-06-25,2026-06-25,multivariate,2026-06-30,5,TMP2m,hqnn,-2170.79,°C
2026-06-25,2026-06-25,multivariate,2026-06-30,5,TMP2m,ensemble,-360.789,°C
2026-06-25,2026-06-25,multivariate,2026-06-30,5,RH2m,lstm,6.542,%
2026-06-25,2026-06-25,multivariate,2026-06-30,5,RH2m,qlstm,43.883,%
2026-06-25,2026-06-25,multivariate,2026-06-30,5,RH2m,gru,57.372,%
2026-06-25,2026-06-25,multivariate,2026-06-30,5,RH2m,qgru,14.035,%
2026-06-25,2026-06-25,multivariate,2026-06-30,5,RH2m,ann,-135.714,%
2026-06-25,2026-06-25,multivariate,2026-06-30,5,RH2m,hqnn,30.166,%
2026-06-25,2026-06-25,multivariate,2026-06-30,5,RH2m,ensemble,2.714,%
2026-06-25,2026-06-25,multivariate,2026-06-30,5,PRmsl,lstm,102930.805,Pa
2026-06-25,2026-06-25,multivariate,2026-06-30,5,PRmsl,qlstm,102585.016,Pa
2026-06-25,2026-06-25,multivariate,2026-06-30,5,PRmsl,gru,102884.242,Pa
2026-06-25,2026-06-25,multivariate,2026-06-30,5,PRmsl,qgru,103184.445,Pa
2026-06-25,2026-06-25,multivariate,2026-06-30,5,PRmsl,ann,678905.875,Pa
2026-06-25,2026-06-25,multivariate,2026-06-30,5,PRmsl,hqnn,474207.688,Pa
2026-06-25,2026-06-25,multivariate,2026-06-30,5,PRmsl,ensemble,260783.012,Pa
2026-06-25,2026-06-25,univariate,2026-06-26,1,TMP2m,lstm,33.719,°C
2026-06-25,2026-06-25,univariate,2026-06-26,1,TMP2m,qlstm,33.118,°C
2026-06-25,2026-06-25,univariate,2026-06-26,1,TMP2m,gru,32.958,°C
2026-06-25,2026-06-25,univariate,2026-06-26,1,TMP2m,qgru,33.298,°C
2026-06-25,2026-06-25,univariate,2026-06-26,1,TMP2m,ann,32.969,°C
2026-06-25,2026-06-25,univariate,2026-06-26,1,RH2m,lstm,41.747,%
2026-06-25,2026-06-25,univariate,2026-06-26,1,RH2m,qlstm,51.663,%
2026-06-25,2026-06-25,univariate,2026-06-26,1,RH2m,gru,49.421,%
2026-06-25,2026-06-25,univariate,2026-06-26,1,RH2m,qgru,53.738,%
2026-06-25,2026-06-25,univariate,2026-06-26,1,RH2m,ann,46.389,%
